"Dataset","Methods","ctd","out","mue","u_mue","mse","u_mse","rmsd","u_rmsd","q95hd","u_q95hd","hrmode","u_hrmode","skew","u_skew","skewgm","u_skewgm","skewgm_mcf","u_skewgm_mcf","kurt","u_kurt","kurtcs","u_kurtcs","gini","u_gini","gimc","u_gimc","bmax","u_bmax","gmax","u_gmax"
"BOR2019","HSE06",-1,FALSE,0.526364,0.0313,0.0985365,0.0374,0.847442,0.0755,1.69945,0.161,0.08515,0.0607,2.41059,0.677,0.138738,0.0511,0.522165,0.0396,16.5581,5.79,2.66219,0.503,0.54605,0.0167,0.545999,0.0183,0.0469595,0.0432,0.548158,0.0167
"BOR2019","HSE14",-1,FALSE,0.572689,0.0298,-0.171689,0.0363,0.830536,0.0614,1.81639,0.125,0.08515,0.198,1.1504,0.539,0.0537022,0.0547,0.354656,0.087,10.8108,2.41,2.34624,0.428,0.511653,0.015,0.497177,0.0184,-0.121141,0.11,0.519005,0.0148
"BOR2019","HSE_mix",-1,FALSE,0.642834,0.0316,-0.369564,0.038,0.856447,0.0544,1.97208,0.129,-0.0111,0.115,-0.320233,0.449,-0.123403,0.0496,0.439511,0.0659,7.91443,1.47,1.98233,0.399,0.515861,0.0146,0.518237,0.0164,-0.142422,0.0627,0.527326,0.0138
"BOR2019","PBE0",-1,FALSE,0.7777,0.0283,-0.472128,0.0385,0.867918,0.0717,1.8296,0.121,-0.55945,0.0845,2.10881,0.618,0.157607,0.0513,0.561328,0.056,14.4999,4.59,2.84445,0.493,0.378078,0.0144,0.548758,0.0195,-0.554901,0.0456,0.548788,0.0161
"BOR2019","PBE0_mix",-1,FALSE,0.817238,0.0362,-0.595248,0.0433,0.965437,0.0537,2.44504,0.152,-0.3911,0.142,-0.838361,0.297,-0.182691,0.045,0.487363,0.0416,6.45925,0.914,1.75705,0.379,0.474481,0.014,0.517212,0.0144,-0.390999,0.0713,0.517212,0.0136
"NAR2019","G4MP2",-1,FALSE,0.794096,0.0334,-0.0605882,0.0475,1.05669,0.0461,2.20896,0.0869,-0.19,0.163,-0.34753,0.215,0.0329609,0.0458,0.367233,0.05,4.43323,0.72,0.93653,0.258,0.457231,0.0125,0.467658,0.0135,-0.19,0.105,0.467658,0.0124
"NAR2019","B3LYP",-1,FALSE,3.9907,0.153,3.61366,0.174,3.67446,0.321,9.25029,0.552,3.03,0.792,1.90949,0.824,0.10259,0.0456,0.394917,0.0501,15.4453,6.5,0.924018,0.295,0.400101,0.0156,0.471104,0.0171,2.98982,0.623,0.471161,0.0162
"NAR2019","M06-2X",-1,FALSE,2.70521,0.0994,-0.0874728,0.166,3.45605,0.202,6.09626,0.457,-3.73,1.92,1.24202,0.417,0.16577,0.0487,0.227188,0.107,7.11665,2.75,-0.205081,0.178,0.394859,0.0142,0.45578,0.027,-2.89077,1.42,0.468952,0.0257
"NAR2019","wB97X-D",-1,FALSE,1.85431,0.0919,0.52329,0.128,2.65402,0.253,5.17825,0.377,-0.51,0.558,2.12997,0.929,0.178147,0.0439,0.388783,0.0605,17.6604,7.74,0.533325,0.233,0.467922,0.018,0.482543,0.02,-0.520528,0.427,0.482555,0.0183
"PER2018","B3LYP",-1,FALSE,1.18192,0.0899,0.979282,0.0997,1.51033,0.123,4.48649,0.489,0.710385,0.111,1.61399,0.298,0.301324,0.0742,0.640308,0.0458,7.25745,1.11,4.92539,0.958,0.514906,0.0196,0.613777,0.0198,0.690597,0.0564,0.614263,0.017
