"Dataset","Methods","ctd","out","mue","u_mue","mse","u_mse","rmsd","u_rmsd","hrmode","u_hrmode","skew","u_skew","kurt","u_kurt","kurtcs","u_kurtcs","q95hd","u_q95hd","gini","u_gini","lasym","u_lasym","pietra","u_pietra"
"Ref_GandHBias2","g=0.1",-2,FALSE,0.85779,0.022,0.35201,0.033,1.046,0.026,-1.1102e-16,0.23,0.42697,0.11,3.5446,0.32,-0.071619,0.12,2.234,0.072,0.42875,0.0088,0.8868,0.018,0.31025,0.0071
"Ref_GandHBias2","g=0.2",-2,FALSE,0.78575,0.022,0.17831,0.032,1.0045,0.028,0,0.21,0.63063,0.092,3.6729,0.3,0.13063,0.12,2.0341,0.069,0.43528,0.0087,0.8855,0.019,0.31527,0.007
"Ref_GandHBias2","g=0.3",-2,FALSE,0.81185,0.024,0.37933,0.034,1.0622,0.036,1.1102e-16,0.1,1.1936,0.21,6.0328,1.4,0.32653,0.16,2.3262,0.13,0.47688,0.0094,0.8966,0.018,0.34555,0.0076
"Ref_GandHBias2","g=0.4",-2,FALSE,1.0212,0.032,0.83637,0.037,1.1639,0.042,0,0.2,1.3988,0.15,6.4147,0.8,0.32646,0.18,2.8793,0.13,0.49005,0.0089,0.90244,0.018,0.36068,0.0074
"Ref_GandHBias2","g=0.5",-2,FALSE,1.016,0.03,0.83832,0.035,1.1759,0.039,1.1102e-16,0.19,1.3181,0.14,5.5899,0.78,0.071819,0.15,3.1455,0.11,0.50763,0.0086,0.92026,0.018,0.37949,0.0074
"Ref_GandHBias2","g=0.6",-2,FALSE,0.84861,0.029,0.34416,0.038,1.2133,0.05,0,0.26,1.8213,0.17,7.9264,1.2,0.75225,0.21,2.7531,0.16,0.49832,0.011,0.98658,0.023,0.35375,0.0093
"Ref_GandHBias2","g=0.7",-2,FALSE,1.0404,0.044,0.90472,0.047,1.5185,0.13,0,0.088,3.9608,0.89,34.541,11,0.77385,0.28,3.6098,0.17,0.57826,0.011,0.91974,0.018,0.43393,0.0093
"Ref_GandHBias2","g=0.8",-2,FALSE,1.2418,0.053,1.1996,0.054,1.657,0.11,1.1102e-16,0.074,3.1587,0.38,18.783,4.1,1.0108,0.31,4.1366,0.23,0.57878,0.011,0.92727,0.018,0.42921,0.009
"Ref_GandHBias2","g=0.9",-2,FALSE,1.1576,0.054,1.0336,0.057,1.8243,0.16,1.1102e-16,0.17,4.1513,0.94,35.344,14,1.5863,0.36,4.2511,0.3,0.61238,0.012,0.94095,0.017,0.4681,0.0099
"Ref_GandHBias2","g=1",-2,FALSE,1.2498,0.06,1.204,0.061,1.991,0.17,1.1102e-16,0.12,4.3617,0.6,33.387,7.7,1.7278,0.41,4.5623,0.37,0.6275,0.012,0.90236,0.019,0.47299,0.01
"BOR2019","LDA",-2,FALSE,0.67927,0.041,0.28835,0.049,1.0693,0.093,0,0.14,2.7092,0.59,16.19,5.8,1.5666,0.48,2.3191,0.21,0.53371,0.018,0.9843,0.032,0.38181,0.015
"BOR2019","LDA + SOC",-2,FALSE,0.68556,0.037,0.031324,0.049,1.0616,0.093,-1.1102e-16,0.2,2.7664,0.61,16.676,6,1.6548,0.49,2.0592,0.21,0.50153,0.019,0.90771,0.033,0.3554,0.014
"BOR2019","PBE",-2,FALSE,0.65893,0.04,0.33174,0.047,1.0261,0.093,5.5511e-17,0.15,2.7939,0.66,17.579,6.6,1.6037,0.49,2.2588,0.2,0.5353,0.018,0.97968,0.029,0.38594,0.015
"BOR2019","PBE + SOC",-2,FALSE,0.65159,0.039,0.356,0.046,1.0144,0.094,0,0.19,2.9045,0.68,18.452,6.9,1.6426,0.5,2.2819,0.2,0.53428,0.018,1.0251,0.029,0.3855,0.016
"BOR2019","PBE_SOL",-2,FALSE,0.66114,0.038,0.18255,0.047,1.0389,0.089,0,0.14,2.6475,0.59,15.83,5.7,1.5244,0.49,2.1647,0.19,0.52237,0.018,0.95368,0.039,0.37058,0.014
"BOR2019","HLE16",-2,FALSE,0.60477,0.037,0.39183,0.042,0.89549,0.084,0,0.079,2.7375,0.54,17.316,4.2,1.5827,0.46,1.9018,0.18,0.5397,0.018,0.94842,0.03,0.39112,0.015
"BOR2019","HLE16 + SOC",-2,FALSE,0.57584,0.037,0.44203,0.04,0.85954,0.089,0,0.1,3.1985,0.6,21.006,5.3,1.6353,0.47,1.8825,0.19,0.55994,0.018,0.96347,0.027,0.41161,0.015
